Order_ID,Branch,Order_Date,Order_Priority,Manufacturer,Model_Name,Category,Screen_Size,Screen,CPU,RAM,Storage,GPU,OS,OS_Version,Weight,Price,Quantity,Discount,Total_Price,Profit,Ship_Duration
1634,Mashhad,1401-08-08,M,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,"14.0""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.74kg,20700000,1,0,20700000.0,1630000,4
1635,Isfahan,1397-05-11,L,HP,Envy 13-ad009n,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce MX150,Windows,10,1.38kg,11800000,1,0,11800000.0,1130000,9
1636,Mashhad,1396-08-30,M,Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.02kg,4650000,1,0,4650000.0,460000,5
1637,Mashhad,1395-05-04,L,Acer,A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce,Gaming,"15.6""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Linux,,2.4kg,2450000,1,0,2450000.0,270000,9
1638,Isfahan,1395-07-15,M,HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.86kg,2400000,1,0,2400000.0,220000,4
1639,Mashhad,1399-11-13,M,HP,17-Y002nv (A10-9600P/6GB/2TB/Radeon,Notebook,"17.3""",IPS Panel Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6GB,2TB HDD,AMD Radeon R7 M440,Windows,10,2.65kg,13600000,1,0,13600000.0,1650000,4
1640,Mashhad,1402-03-05,M,Dell,Inspiron 5577,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.56kg,54350000,1,0,54350000.0,4040000,6
1641,Tehran,1393-03-29,L,Dell,Inspiron 7577,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.65kg,4800000,1,3,4656000.0,490000,10
1642,Mashhad,1396-02-28,M,Lenovo,Yoga 700-11ISK,2 in 1 Convertible,"11.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core M m7-6Y75 1.2GHz,8GB,256GB SSD,Intel HD Graphics 515,Windows,10,1.1kg,4900000,1,0,4900000.0,470000,4
1643,Tehran,1397-04-10,H,Asus,Rog GL552VW-CN470T,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows,10,2.59kg,10700000,1,0,10700000.0,1240000,2
1644,Sari,1391-03-17,M,HP,ProBook 640,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.95kg,2150000,1,0,2150000.0,270000,5
1645,Shiraz,1393-07-17,M,Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,AMD R17M-M1-70,Windows,10,1.90kg,2650000,1,0,2650000.0,390000,6
1646,Kermanshah,1395-08-19,H,Lenovo,ThinkPad E480,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon RX 550,Windows,10,1.75kg,4350000,1,5,4132500.0,390000,2
1647,Karaj,1396-08-11,M,Apple,MacBook Air,Ultrabook,"13.3""",1440x900,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,Mac OS,X,1.35kg,4450000,1,0,4450000.0,500000,6
1648,Mashhad,1391-07-13,L,Google,Pixelbook (Core,Ultrabook,"12.3""",Touchscreen 2400x1600,Intel Core i5 7Y57 1.2GHz,8GB,128GB SSD,Intel HD Graphics 615,Chrome OS,,1.1kg,3950000,1,0,3950000.0,360000,9
1649,Tabriz,1391-01-31,L,Dell,Precision 3520,Workstation,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia Quadro M620,Windows,10,2.23kg,3200000,1,0,3200000.0,320000,7
1650,Kish,1395-06-09,L,HP,Pavilion 15-AW003nv,Notebook,"15.6""",Full HD 1920x1080,AMD A9-Series 9410 2.9GHz,6GB,1TB Hybrid,AMD Radeon R7 M440,Windows,10,2.04kg,1900000,1,5,1805000.0,140000,10
1651,Yazd,1402-04-22,M,Lenovo,Thinkpad 13,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,1GB SSD,Intel HD Graphics 620,Windows,10,1.44kg,36700000,1,0,36700000.0,3360000,6
1652,Hamedan,1393-12-04,M,HP,ProBook 650,Notebook,"14.0""",1366x768,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.31kg,3850000,1,0,3850000.0,390000,5
1653,Isfahan,1392-09-24,L,Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.36kg,2900000,1,0,2900000.0,230000,9
1654,Zanjan,1398-01-13,M,Dell,Inspiron 7773,2 in 1 Convertible,"17.3""",Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Nvidia GeForce 150MX,Windows,10,2.77kg,13150000,1,0,13150000.0,1730000,4
1655,Kermanshah,1399-06-02,L,Asus,X553SA-XX031T (N3050/4GB/500GB/W10),Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3050 1.6GHz,4GB,500GB HDD,Intel HD Graphics,Windows,10,2.2kg,8300000,1,0,8300000.0,840000,8
1656,Tabriz,1391-12-29,L,HP,ProBook 470,Notebook,"17.3""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows,10,2.5kg,3300000,1,0,3300000.0,360000,9
1657,Zanjan,1398-09-24,H,Dell,XPS 13,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.21kg,20950000,1,0,20950000.0,1860000,3
1658,Zanjan,1400-02-15,M,MSI,GL72M 7REX,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.7kg,25650000,1,0,25650000.0,2960000,6
1659,Zanjan,1391-09-23,L,Dell,Precision 5520,Workstation,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,8GB,256GB SSD,Nvidia Quadro M1200,Windows,10,2kg,6450000,1,0,6450000.0,510000,10
1660,Rasht,1392-11-03,M,Lenovo,Thinkpad X270,Ultrabook,"12.5""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.36kg,4600000,1,0,4600000.0,410000,6
1661,Karaj,1402-03-11,H,Dell,Inspiron 3576,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 520,Windows,10,2.13kg,39250000,1,0,39250000.0,4620000,3
1662,Tehran,1400-06-29,M,Dell,Inspiron 7579,2 in 1 Convertible,"15.6""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.191kg,27350000,1,0,27350000.0,3010000,6
1663,Mashhad,1399-01-19,M,Asus,Rog Strix,Gaming,"17.3""",Full HD 1920x1080,AMD Ryzen 1700 3GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,10,3.2kg,20350000,2,0,40700000.0,4660000,4
1664,Mashhad,1400-05-01,M,Acer,Aspire ES1-531,Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,Intel HD Graphics 400,Linux,,2.4kg,7050000,1,0,7050000.0,790000,6
1665,Hamedan,1400-02-21,L,Lenovo,IdeaPad 510-15IKB,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,,2.2kg,15300000,1,0,15300000.0,1400000,7
1666,Mashhad,1400-04-08,H,Lenovo,IdeaPad 720S-13IKB,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.1kg,24850000,1,0,24850000.0,2270000,2
1667,Kermanshah,1399-01-04,L,HP,Omen 17-an012dx,Gaming,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,AMD Radeon RX 580,Windows,10,3.74kg,27600000,1,0,27600000.0,2800000,10
1668,Mashhad,1396-01-17,H,Acer,Chromebook C738T-C2EJ,2 in 1 Convertible,"11.6""",IPS Panel Touchscreen 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,,1.25kg,1400000,1,0,1400000.0,130000,3
1669,Tehran,1396-01-17,L,Dell,Inspiron 5567,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon R7 M445,Linux,,2.32kg,2200000,1,0,2200000.0,160000,10
1670,Karaj,1394-03-15,L,Lenovo,Thinkpad X260,Ultrabook,"12.5""",IPS Panel 1366x768,Intel Core i5 6200U 2.3GHz,8GB,1GB SSD,Intel HD Graphics 520,Windows,10,1.3kg,3600000,1,5,3420000.0,390000,7
1671,Karaj,1392-06-22,L,HP,ENVY -,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.34kg,3750000,2,0,7500000.0,760000,9
1672,Rasht,1400-09-06,M,Lenovo,IdeaPad 310-15IKB,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Nvidia GeForce 920M,Windows,10,2.4kg,17400000,1,0,17400000.0,1210000,4
1673,Isfahan,1394-10-06,M,Acer,Nitro AN515-51,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,2850000,1,5,2707500.0,370000,4
1674,Mashhad,1394-07-20,C,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,"17.3""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows,10,2kg,1950000,1,0,1950000.0,190000,1
1675,Yazd,1391-10-26,L,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6GB,256GB SSD,Nvidia GeForce 920M,Windows,10,2kg,1850000,1,0,1850000.0,140000,8
1676,Kermanshah,1395-11-14,M,Lenovo,IdeaPad 320-17IKB,Notebook,"17.3""",1600x900,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 940MX,No OS,,2.8kg,2250000,1,5,2137500.0,170000,5
1677,Mashhad,1398-06-08,M,Asus,Zenbook UX410UA-GV027T,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2kg,10550000,1,0,10550000.0,1070000,6
1678,Rasht,1400-04-23,H,Dell,Inspiron 5567,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon R7 M445,Windows,10,2.5kg,19350000,1,0,19350000.0,2160000,2
1679,Tehran,1401-04-07,M,HP,ProBook 440,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,1.63kg,17600000,1,3,17072000.0,1400000,5
1680,Kish,1395-07-09,M,HP,15-ba043na (A12-9700P/8GB/2TB/W10),Notebook,"15.6""",1366x768,AMD A12-Series 9700P 2.5GHz,8GB,2TB HDD,AMD Radeon R7 Graphics,Windows,10,2.04kg,2200000,1,0,2200000.0,170000,4
1681,Tabriz,1401-07-25,M,Dell,Inspiron 3576,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 520,Windows,10,2.13kg,24000000,1,0,24000000.0,2110000,4
1682,Karaj,1396-04-01,M,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,,3kg,3500000,1,0,3500000.0,310000,5
1683,Arak,1392-06-21,L,HP,Pavilion 15-cb003nv,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.62kg,2850000,1,0,2850000.0,280000,8
1684,Kermanshah,1391-07-16,L,Acer,Swift 3,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel Graphics 620,Windows,10,1.8kg,2700000,1,0,2700000.0,150000,9
1685,Rasht,1400-11-01,M,Lenovo,Ideapad 700-15ISK,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 6300HQ 2.3GHz,4GB,1TB HDD,Nvidia GeForce GTX 950M,Windows,10,2.3kg,26800000,1,0,26800000.0,2620000,5
1686,Tehran,1391-07-22,M,HP,EliteBook 850,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.84kg,4100000,1,0,4100000.0,320000,4
1687,Mashhad,1398-06-31,H,Dell,Inspiron 5577,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.56kg,12150000,1,0,12150000.0,1700000,2
1688,Kermanshah,1399-03-15,M,Asus,Chromebook Flip,2 in 1 Convertible,"12.5""",Full HD 1920x1080,Intel Core M M7-6Y75 1.2GHz,8GB,64GB Flash Storage,Intel HD Graphics 515,Chrome OS,,1.2kg,19800000,1,0,19800000.0,2470000,5
1689,Arak,1401-12-26,M,Asus,X541NA-GO414T (N3350/8GB/1TB/W10),Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,8GB,1TB HDD,Intel HD Graphics 500,Windows,10,2kg,18050000,2,3,35017000.0,3460000,5
1690,Karaj,1398-05-06,L,Lenovo,Yoga 500-15ISK,2 in 1 Convertible,"15.6""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,256GB SSD,Intel HD Graphics 520,Windows,10,2.1kg,10450000,1,0,10450000.0,840000,10
1691,Arak,1393-11-09,M,HP,Probook 450,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.70GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows,10,2.04kg,3350000,1,5,3182500.0,330000,4
1692,Isfahan,1393-09-17,L,HP,ProBook 450,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,2.04kg,2550000,1,0,2550000.0,320000,10
1693,Isfahan,1402-02-22,L,Dell,Inspiron 7577,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.62kg,61450000,1,0,61450000.0,5650000,9
1694,Zanjan,1392-10-10,C,Acer,Aspire 7,Gaming,"15.6""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Linux,,2.4kg,2350000,1,0,2350000.0,230000,1
1695,Arak,1394-12-15,C,Lenovo,ThinkPad 13,Notebook,"13.3""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.44kg,3200000,1,0,3200000.0,210000,1
1696,Tabriz,1391-12-15,M,HP,Probook 440,Notebook,"14.0""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce 930MX,Windows,10,1.63kg,3450000,1,0,3450000.0,340000,6
1697,Mashhad,1392-01-27,M,Lenovo,IdeaPad Y700-15ACZ,Gaming,"15.6""",IPS Panel Full HD 1920x1080,AMD FX 8800P 2.1GHz,16GB,512GB SSD +  1TB HDD,AMD Radeon R9 M385,Windows,10,2.5kg,3500000,1,0,3500000.0,280000,6
1698,Rasht,1395-11-19,M,Lenovo,IdeaPad 510-15IKB,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,6GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,2.2kg,3050000,1,0,3050000.0,280000,4
1699,Mashhad,1394-10-28,M,HP,Probook 440,Notebook,"14.0""",IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel UHD Graphics 620,Windows,10,1.63kg,2550000,1,0,2550000.0,240000,6
1700,Isfahan,1398-09-06,L,Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,No OS,,2.5kg,12350000,1,0,12350000.0,1060000,8
1701,Isfahan,1393-05-09,M,Dell,XPS 13,Ultrabook,"13.3""",Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,Windows,10,1.23kg,4250000,1,0,4250000.0,480000,5
1702,Hamedan,1393-09-24,M,Dell,Latitude 5480,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,Intel HD Graphics 620 ,Windows,10,1.6kg,3900000,1,0,3900000.0,290000,6
1703,Tehran,1399-06-29,M,Lenovo,Thinkpad T460s,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,12GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.4kg,44850000,1,0,44850000.0,5450000,4
1704,Mashhad,1400-06-08,H,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,"14.0""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.74kg,17200000,1,5,16340000.0,1810000,3
1705,Arak,1398-01-31,L,MSI,GL72M 7RDX,Gaming,"17.3""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.7kg,14750000,1,0,14750000.0,1820000,10
1706,Ahvaz,1397-04-26,M,Toshiba,Tecra A40-C-1DF,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.95kg,9300000,1,0,9300000.0,920000,6
1707,Yazd,1395-05-16,M,Dell,Inspiron 5770,Notebook,"17.3""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,,2.8kg,3900000,1,0,3900000.0,370000,4
1708,Tabriz,1398-01-07,M,Dell,Vostro 3568,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 520,Linux,,2.18kg,6750000,1,0,6750000.0,610000,5
1709,Shiraz,1391-04-31,M,Dell,Inspiron 5568,2 in 1 Convertible,"15.6""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 6100U 2.3GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.08kg,1500000,2,0,3000000.0,330000,6
1710,Kermanshah,1392-12-28,L,HP,ProBook 470,Notebook,"17.3""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,2.5kg,2750000,1,0,2750000.0,310000,7
1711,Tehran,1400-06-16,C,Lenovo,Thinkpad L560,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,2.3kg,28550000,1,0,28550000.0,2620000,1
1712,Isfahan,1391-08-27,M,Lenovo,ThinkPad L570,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.3kg,2650000,1,0,2650000.0,220000,4
1713,Yazd,1392-01-25,L,Dell,Latitude 3580,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.95kg,2850000,1,0,2850000.0,280000,8
1714,Sari,1398-02-10,M,Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.2kg,13900000,2,0,27800000.0,2590000,5
1715,Rasht,1392-07-24,H,Asus,Zenbook UX430UA,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.25kg,3250000,1,0,3250000.0,330000,2
1716,Zanjan,1396-05-02,M,Dell,Inspiron 7579,2 in 1 Convertible,"15.6""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.191kg,3750000,1,0,3750000.0,330000,4
1717,Ahvaz,1397-10-04,L,HP,ZBook 17,Workstation,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M2200,Windows,10,3.14kg,21400000,1,2,20972000.0,1710000,10
1718,Kermanshah,1397-06-11,L,Asus,K556UR-DM621T (i7-7500U/8GB/256GB/GeForce,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce GTX 930MX,Windows,10,2.3kg,8800000,1,0,8800000.0,990000,9
1719,Tehran,1400-02-18,M,HP,Elitebook 820,Netbook,"12.5""",1366x768,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows,7,2.4kg,33050000,1,0,33050000.0,3690000,4
1720,Isfahan,1400-12-12,M,Dell,Inspiron 7559,Gaming,"15.6""",IPS Panel Touchscreen / 4K Ultra HD 3840x2160,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows,10,2.72kg,28000000,1,0,28000000.0,2400000,5
1721,Yazd,1395-04-14,L,HP,Elitebook 850,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.84kg,4500000,1,0,4500000.0,370000,7
1722,Karaj,1395-06-29,H,Lenovo,IdeaPad 320-17IKBR,Notebook,"17.3""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,2TB HDD,Nvidia GeForce MX150,No OS,,2.8kg,3000000,2,0,6000000.0,680000,2
1723,Tehran,1392-05-26,H,Dell,Vostro 3568,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,256GB SSD,AMD Radeon R5 M420,Windows,10,2.18kg,2350000,1,5,2232500.0,200000,3
1724,Mashhad,1398-09-16,L,Dell,XPS 13,Ultrabook,"13.3""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.23kg,17750000,1,0,17750000.0,1470000,7
1725,Hamedan,1398-07-23,L,HP,Probook 440,Notebook,"14.0""",IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel UHD Graphics 620,Windows,10,1.63kg,8150000,1,0,8150000.0,790000,9
1726,Rasht,1398-11-29,L,Asus,Rog GL502VM-DS74,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.1kg,26400000,1,0,26400000.0,2250000,10
1727,Tehran,1400-05-01,M,HP,Pavilion 15-cb003nv,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.62kg,22100000,1,0,22100000.0,2280000,4
1728,Hamedan,1394-05-07,H,HP,EliteBook 840,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i5 7500U 2.7GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.48kg,3550000,1,5,3372500.0,320000,3
1729,Rasht,1399-04-23,H,HP,ProBook 430,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel UHD Graphics 620,Windows,10,1.49kg,15250000,1,0,15250000.0,1030000,2
1730,Yazd,1395-10-17,L,Dell,Latitude 5480,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce 930MX,Linux,,1.64kg,4200000,1,0,4200000.0,450000,9
1731,Kermanshah,1399-02-04,L,Lenovo,Thinkpad 13,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.4kg,15700000,1,0,15700000.0,910000,9
1732,Tehran,1399-08-12,C,HP,Omen 17-w207nv,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,3.35kg,54400000,1,0,54400000.0,5260000,1
1733,Mashhad,1398-08-28,L,Lenovo,IdeaPad Y700-15ISK,Gaming,"15.6""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows,10,2.6kg,12400000,1,5,11780000.0,1190000,8
1734,Tehran,1396-11-11,M,HP,Probook 430,Notebook,"13.3""",1366x768,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,1.49kg,3600000,1,0,3600000.0,350000,5
1735,Hamedan,1390-12-10,M,Lenovo,Yoga 500-15ISK,2 in 1 Convertible,"15.6""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.8kg,1600000,1,0,1600000.0,180000,5
